cpv_code,table_class,position,index_type,classification,ateco_code,index_description
90900000-6,D2,1,PPS,ATECO,812,Attività di pulizia e disinfestazione
90900000-6,D2,11,PC,ECOICOP,00ST,indice generale senza tabacchi
90900000-6,D2,21,IR,ATECO,812,Attività di pulizia e disinfestazione
98393000-4,D2,1,PC,ECOICOP,03142,Riparazione e noleggio abiti
98393000-4,D2,11,PPI,ATECO,1413,Confezione di altro abbigliamento esterno
50232000-0,D3,1,PPI,ATECO,274,Fabbricazione di apparecchiature per illuminazione
50232000-0,D3,11,IR,ATECO,432,"Installazione di impianti elettrici, idraulici ed altri lavori di costruzione e installazione"
50310000-1,D3,1,PPI,ATECO,2823,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche)
50310000-1,D3,11,PPI,ATECO,331,"Riparazione e manutenzione di prodotti in metallo, macchine ed apparecchiature"
50310000-1,D3,21,IR,ATECO,951,Riparazione di computer e di apparecchiature per le comunicazioni
50312000-5,D3,1,PPI,ATECO,262,Fabbricazione di computer e unità periferiche
50312000-5,D3,11,IR,ATECO,951,Riparazione di computer e di apparecchiature per le comunicazioni
50320000-4,D3,1,PPI,ATECO,262,Fabbricazione di computer e unità periferiche
50320000-4,D3,11,IR,ATECO,951,Riparazione di computer e di apparecchiature per le comunicazioni
50330000-7,D3,1,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunica zioni
50330000-7,D3,11,IR,ATECO,951,Riparazione di computer e di apparecchiature per le comunicazioni
50331000-4,D3,1,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunica zioni
50331000-4,D3,11,IR,ATECO,61,Telecomunicazioni
50332000-1,D3,1,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunica zioni
50332000-1,D3,11,IR,ATECO,61,Telecomunicazioni
50333000-8,D3,1,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunica zioni
50333000-8,D3,11,IR,ATECO,61,Telecomunicazioni
50334000-5,D3,1,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunica zioni
50334000-5,D3,11,IR,ATECO,61,Telecomunicazioni
50334140-8,D3,1,PC,ECOICOP,08204,Riparazione apparecchi di telefonia e telefax
50334140-8,D3,11,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunica zioni
50334140-8,D3,21,IR,ATECO,61,Telecomunicazioni
50340000-0,D3,1,PPI,ATECO,3313,Riparazione e manutenzione di apparecchiature elettroniche ed ottiche
50340000-0,D3,11,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
50340000-0,D3,21,IR,ATECO,951,Riparazione di computer e di apparecchiature per le comunicazioni
50740000-4,D3,1,PPI,ATECO,2822,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
50740000-4,D3,11,IR,ATECO,432,"Installazione di impianti elettrici, idraulici ed altri lavori di costruzione e installazione"
50750000-7,D3,1,PPI,ATECO,2822,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
50750000-7,D3,11,IR,ATECO,432,"Installazione di impianti elettrici, idraulici ed altri lavori di costruzione e installazione"
50850000-8,D3,1,PPI,ATECO,31,Fabbricazione di mobili
50850000-8,D3,11,IR,ATECO,31,Fabbricazione di mobili
50860000-1,D3,1,PPI,ATECO,322,Fabbricazione di strumenti musicali
50860000-1,D3,11,IR,ATECO,322,Fabbricazione di strumenti musicali
55300000-3,D3,1,PC,ECOICOP,01,-- prodotti alimentari e bevande analcoliche
55300000-3,D3,11,PC,ECOICOP,00ST,Indice generale senza tabacchi
55300000-3,D3,21,IR,ATECO,562,Fornitura di pasti preparati (catering) e altri servizi di ristorazione
55500000-5,D3,1,PC,ECOICOP,01,-- prodotti alimentari e bevande analcoliche
55500000-5,D3,11,PC,ECOICOP,00ST,Indice generale senza tabacchi
55500000-5,D3,21,IR,ATECO,562,Fornitura di pasti preparati (catering) e altri servizi di ristorazione
55900000-9,D3,1,PC,ECOICOP,00ST,Indice generale senza tabacchi
55900000-9,D3,11,IR,ATECO,47,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli)
77100000-1,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77100000-1,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
77100000-1,D3,21,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
77200000-2,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77200000-2,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
77200000-2,D3,21,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
77300000-3,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77300000-3,D3,11,IR,ATECO,813,Cura e manutenzione del paesaggio
77300000-3,D3,21,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
77400000-4,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77400000-4,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
77500000-5,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77500000-5,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
77600000-6,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77600000-6,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
77700000-7,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77700000-7,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
77800000-8,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77800000-8,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
77900000-9,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
77900000-9,D3,11,IR,ATECO,A,"Agricoltura, silvicoltura e pesca"
79310000-0,D3,1,PPS,ATECO,702,Attività di consulenza gestionale
79310000-0,D3,2,PPS,ATECO,73,Pubblicità e ricerche di mercato
79310000-0,D3,3,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79310000-0,D3,11,PC,ECOICOP,00ST,indice generale senza tabacchi
79310000-0,D3,21,IR,ATECO,732,Ricerche di mercato e sondaggi di opinione
79311210-2,D3,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79311210-2,D3,11,PC,ECOICOP,00ST,indice generale senza tabacchi
79311210-2,D3,21,IR,ATECO,822,Attività dei call center
79920000-9,D3,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79920000-9,D3,11,PPI,ATECO,1624,Fabbricazione di imballaggi in legno
79920000-9,D3,12,PPI,ATECO,2592,Fabbricazione di imballaggi leggeri in metallo
79920000-9,D3,13,PPI,ATECO,2222,Fabbricazione di imballaggi in materie plastiche
79920000-9,D3,14,PPI,ATECO,1721,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone
79920000-9,D3,21,IR,ATECO,829,Servizi di supporto alle imprese nca
85111000,D3,1,IR,ATECO,9601,Lavanderia e pulitura di articoli tessili e pelliccia
85111000,D3,11,PPI,ATECO,325,Fabbricazione di strumenti e forniture mediche e dentistiche
85111000,D3,21,PPI,ATECO,0020,TOTALE INDUSTRIA ESCLUSE COSTRUZIO NI (b-e)
90511000-2,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90511000-2,D3,11,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90511000-2,D3,21,IR,ATECO,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali"
90512000-9,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
